Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
髮質 基本 今年 天氣 關係 用到 適合 近期 出門 上班 出遊 戴完 安全帽 困擾 巴黎 小姐 獸首 孔雀 控油 獸首 孔雀 沖洗 護髮素 直接 愛上 再度 蓬鬆 髮絲 擔心 控油 會不會 乾澀 巴黎 小姐 控油 添加 薰衣草 生薑 草本 精華 咖啡因 養髮 精華 平衡 頭皮 油脂 能夠 改善 髮根 韌度 使用完 頭皮 超蓬鬆 重要,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,1.0,False
去年 採購 洗髮品 陸陸續續 即將 用光光 回購 空位 用過 淨髮 精華露 感受 古寶無患子 淨髮 精華露 當時 檔期 活動 特價 順便 購入 控油 其實 頭皮屑 困擾 控油 這樣 控油 包裝 中藥 材料 事實 說明 中藥 名稱 適合,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,1.0,False
姊妹 一起 觀望 一陣子 終於 一起 購入 以前 那麼 重視 總是 香味 選擇 洗髮品 懷疑 高價位 洗髮品 差不 洗頭 美好 成分 重要 日本 起泡盒 清潔 盒子 濃密 泡泡 現在 洗頭 已經 濃厚 泡泡 單純 泡泡 那麼 濃密 草本 味道 清新 起泡盒 達到 這樣子 掉下來 瓶身 簡潔 過多 華麗感 瓶口 刻紋 洗頭 容量 其實,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,1.0,False
牌子 節目 認識 藥妝店 當時 看起來 好像 不錯 晚上 痛苦 頭皮 悶住 多了 隔天 有時候 頭皮 偶而 頭皮屑 遇到 如此 趕快 洗頭 明顯 油頭味 隔天 明顯 油頭味 阿葵亞 淨水 賦活 控油 苦惱 只好 這樣 互相 搭配,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,1.0,False
最近 狀態 實在 困擾 本來 軟髮 髮質 冬季 防冷 帽子 脫下 處於 扁塌 狀態 悶著 頻繁 然後 憂心 額頭 髮際線 似乎 越來越 社群 滑來滑去 廣告 吸引 雞蛋 盒子 瓶身 設計 風格 簡約 韓風 主要 成分 雞蛋 雞蛋 卵黃 含有 頭皮 蛋白質 相似 蛋白質 含有 促進 毛髮 健康 卵磷脂 快速 緩解 脫髮 大概 就是 深深 吸引 透明 洗髮精質地 淡雅 果香 味道 起泡 大概 壓次,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,1.0,False
當初 推薦 腦波弱 買下去 購買 當時 廣告 推薦 三冠王組 水漾 薔薇 平衡 控油 茶樹 加購 水漾 薔薇 平衡 護髮素 貪心 護髮素 浴室 狀況 心情 選妃 頭皮 偏油性 基本 懶淨 平衡 控油 茶樹 水漾 薔薇 水漾 薔薇 保濕款 原本 冬天,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,0.9497085395793172,False
脂漏性 皮膚炎 關係 頭皮 搔癢 油頭味 有時候 洗乾淨 後來 皮膚炎 關係 用到 適合 困擾 今年 發現 牌子 廣告 官網 試用組 大錢 跑去 藥妝店 官網 方法 說明 捷利爾 頭皮 淨化液 淋上 頭皮 搓揉 沖洗 搭配 淨化液 搭配 原本 淨化液 瓶身 刻度 刻度 倒出來 液體 黃色,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,1.0,False
賣場 預備 購入 形象 看起來 新穎 款式 功效 相同 當時 猶豫 酪梨 綠瓶 蘋果 功效 適合 台灣 氣候 防斷 蓬鬆 生薑 蘋果 味道 酪梨 清爽 清香 幸福 蜂蜜 口味 黃瓶 味道 濃郁 厚重 滋潤 功效 目前 考慮 安全 帽子 太陽 攻擊 塌梳 整理 斷掉 情形 紅罐 清爽 濕髮 狀態 乾澀 乾淨 吹乾 一定 爆炸 髮質 看起,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,1.0,False
艾瑪 花園 康是美蝦皮 網站 購入 當時 等於 香味 其實 香味 今年 準備 考取 芳療師 關係 精油界 裡面 高級 口味 話說 網路 認真 反正 踩雷 大膽 買下去 不同 味道 安柏媽 這樣 購入 頭皮 護理 摩特車 上下 工作室 常常 頭皮 悶住 掉髮 頁面 高級 口味 養護 頭皮,2,2_頭皮_味道_香味_起泡,"['頭皮', '味道', '香味', '起泡', '蓬鬆', '髮質', '透明', '控油', '乾澀', '清爽', '洗頭', '質地', '泡泡', '適合', '髮絲', '不錯', '乾淨', '舒服', '包裝', '油性']","['好用 舒緩 頭皮 泡泡 味道 舒服 順手 泡沫 綿密 深層 清潔 深入 髮芯 修護 避免 髮絲 乾燥 摩擦 受損 涼感 頭皮 舒服 適合 油性 適合 白泥 淨髮 豐富 物質 天然來源 白泥 成分 配合 配方 深層 淨透 平衡 頭皮 油脂 還給 頭皮 舒適 潔淨 蓬鬆感 迷迭香 薄荷 植萃 植物 保濕 髮絲 蓬鬆 呈現 空氣感 味道 唯一 清淡 舒服 過重 香味 舒服 放鬆 推薦', '當初 頭皮 淨化液 家人 介紹 家人 脂漏性 皮膚炎 看醫生 推薦 長期 大夜班 頭皮 敏感 裡面 獨家 液態 水狀 植萃 成分 能夠 快速 浸潤 軟化 頭皮 厚重 角質 溫和 深層 清潔 頭皮 阻塞 毛囊 維持 頭皮 日常 油水 平衡 髮根 清爽 蓬鬆 貼心 尖嘴 設計 側瓶身 刻度 就是 乾髮 狀態 倒出來 液體 質地 直接 搓揉 頭皮 稍微 搓揉 泡沫 產生 搓揉 頭皮 涼涼 舒服 沖洗 正常 程序 洗頭 推薦', '易出 頭皮 髮質 乾枯 嚴重 自然捲 困擾 明明 出門 精心 吹整 一下子 油膩 扁塌 毛躁 看起來 精神 最近 剛好 發現 潘婷 推出 油頭 乾髮 設計 爆水 淨化 美容液 清爽 日本 無矽靈 適合 髮質 乾枯 毛躁 油性 頭皮 洗淨 頭皮 同時 依然 保有 優秀 滋潤 養護 媲美 香水 等級 清新 小蒼蘭 香味 質地 透明 水潤 起泡 清爽 負擔 能夠 深層 洗淨 頭皮 維持 髮根 蓬鬆度 依然 兼具 柔順度 起泡 輕輕 搓揉 打出 豐盈 泡泡 泡泡']",頭皮 - 味道 - 香味 - 起泡 - 蓬鬆 - 髮質 - 透明 - 控油 - 乾澀 - 清爽 - 洗頭 - 質地 - 泡泡 - 適合 - 髮絲 - 不錯 - 乾淨 - 舒服 - 包裝 - 油性,1.0,False
掉髮 嚴重 梳頭 洗頭 懷疑 禿頭 結果 強健 髮根 掉髮 雪芙蘭 新品 強健 髮根 當然 搶救 主成分 生薑 擔心 味道 會不會 好聞 雪芙蘭 寶雅 貼心 設有 試聞瓶 完全 味道 清新 草本 香氣 期待 味道 如何 購入 目前 已經 習慣 不同 牌子 輪流 掉髮 頭皮,4,4_蘋果_生薑_防斷_蘋果味,"['蘋果', '生薑', '防斷', '蘋果味', '奇異果', '味道', '滋養', '清茶', '修護', '護髮素', '小勳', '氧化', '香味', '最近', '薑味', '游離', '滋養型', '無功', '蘋果果汁', '止癢液']","['最近 入手 生薑 蘋果 防斷 滋養 評價 不錯 尤其 奇異果 嚇嚇 價錢 屈臣氏 打折 一點 吸引 生薑 成份 受損 燙髮 剛好 最近 符合 標準 添加 矽靈 礦物油 防腐劑 味道 聞起來 只有 聞到 蘋果 香味 香香 甜甜 香味 療癒 泡沫 相當 豐富 按下 奶油 泡泡 超多', '寶雅 逛街 生薑 防斷 配方 強韌 防斷 改善 乾燥 掉髮 蘋果 修護 配方 泡沫 順滑 濃密 豐盈 源於 天然 潔淨 成份 溫和 淨化 頭皮 髮絲 添加 矽靈 防腐劑 礦物油 滑石粉 游離 甲醛 石蠟 橘紅色 透明質 倒出來 蘋果 香味 一定 搭配 護髮素 這樣 立刻 順亮 搭配 護髮素 髮質 出粗 最最 厲害 最最最 值得 推薦 通常 下午 出油 瀏海 油膩感', '年月 屈臣氏 購買 包裝 食譜盒 特價元 潤髮 生薑 防斷 配方 強韌 防斷 改善 損傷 蘋果 修護 配方 深入 滋養 鎖水 順滑 修護 維生 素原 配方 減少 頭皮 氧化 舒活 頭皮 氧化 氨基酸 配方 減少 秀髮 氧化 損傷 生薑 蘋果 防斷 修護 亮橘色 膠狀 質地 香甜 蘋果 味道 流動性 低起泡 泡沫 添加 矽靈 防腐劑 礦物油 滑石粉 游離 甲醛 頭皮 髮絲 乾淨 滑順 膨鬆 後續 潤髮 護髮 生薑 蘋果 防斷修']",蘋果 - 生薑 - 防斷 - 蘋果味 - 奇異果 - 味道 - 滋養 - 清茶 - 修護 - 護髮素 - 小勳 - 氧化 - 香味 - 最近 - 薑味 - 游離 - 滋養型 - 無功 - 蘋果果汁 - 止癢液,0.8932484299752457,False
